Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Economic_Health_Index,Social_Economic_Index,Freedom_Trust_Index,Region_Central and Eastern Europe,Region_East Asia,Region_Latin America and Caribbean,Region_Middle East and North Africa,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe
-1.7209832769351496,2.1287111190306165,1.0950416570576833,1.2680975780463282,1.080422466816864,1.4242822958350574,-0.33540397742566874,2.996757115265599,1.134279546337448,1.2464896574489988,2.396595822282207,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.6987770411037284,1.9763966293014936,1.203323854612748,1.2211540875221798,1.1218566338908182,1.396276871143043,0.7072649089193455,3.1771584379533078,1.220702836104927,1.290950284806799,2.4607251329683,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.6765708052723072,1.9349382474817332,1.4677338718983717,1.2513320457162755,1.2544459685274718,1.4732917890460826,0.9073730790259645,2.4449413046914277,1.4440988870133171,1.4657265440753946,2.174609746830346,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.654364569440886,1.8808620972820445,1.1957692826903012,1.3921625172887209,1.2461591351126808,1.3892755149700393,1.7815298221232994,0.0785004247291164,1.2647297950430765,1.3645402887093654,1.0153491305817381,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.6321583336094645,1.8754544822620762,1.2360603329433488,1.0501456577556396,1.1342868840130045,1.1512294050879177,1.4445055356279415,1.988632076716632,1.246792885846053,1.2326915317172675,1.735570619825554,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.6099520977780433,1.8682443289021178,1.3770790088290148,1.063558083619682,1.353887969504962,1.256249747682971,0.8231170074021249,2.466164989713511,1.4245313497074727,1.324679036595475,2.0315520537613687,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.587745861946622,1.744770452612829,1.21339661717601,0.9327869314452689,1.1757210510869582,1.2702524600289782,0.8652450432140447,2.7845202650447636,1.2484235139548732,1.165234028139915,2.1894088185271365,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.5655396261152006,1.7123247624930162,1.0018686033475108,1.1675043840660102,1.2461591351126808,1.347267377932018,1.5287616072517811,2.8588031626220562,1.1391714306639085,1.1437702770016662,2.278203248707881,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,-0.3944053188733077
-1.5433333902837794,1.6861879565631661,1.1579964230780697,0.993142847833459,1.300023552308821,1.340266021759014,1.0548212043676832,2.0947505018270496,1.261468538825436,1.1591015278147012,1.9180925040859726,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,8.774964387392123,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,-0.3944053188733077
-1.5211271544523581,1.657347343123333,1.1856965201270395,0.8925496538531417,1.2047249680387266,0.9761955007628278,0.6230088372955059,1.224579415921626,1.2419010015195917,1.1299721512699352,1.2570673016293203,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.498920918620937,1.6411244980634259,1.1756237575637782,1.1373264258719151,1.287593302186635,1.1512294050879177,1.549825625157741,1.9037373366282977,1.2679910512607182,1.2357577818798742,1.6961064286341119,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,-0.3944053188733077
-1.4767146827895155,1.5861470786937428,0.3244753209681514,0.7785440340087812,0.9851238825467693,1.1582307612609215,-0.4301920580024883,-0.18679563804692736,0.5978028985355477,0.553517120699832,0.7292337444437842,-0.4778561045889373,-0.20000000000000004,2.53546276418555,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,-0.3944053188733077
-1.4545084469580942,1.5609115419338886,0.9338774560454934,0.8254875245329297,1.2585893852348666,-0.1510228430907509,0.8020529894961651,-0.3035259056683866,1.1000363560522197,0.945997141513519,-0.24750498754440434,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,2.7688746209726913,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,-0.3944053188733077
-1.432302211126673,1.516749352604143,1.7724349394370427,0.9059620797171841,1.188151301209145,0.9341873637248063,0.09640838964650895,2.1796452419153836,1.6153148384394553,1.4933227955388568,1.6714413091394613,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.4100959752952518,1.4843036624843302,1.0774143225719748,1.1037953612118092,1.1218566338908182,0.40208429457653305,1.7183377684054195,1.7763952264957972,1.1391714306639085,1.1606346528960045,1.1090765846614128,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.3878897394638303,1.4545617798745012,1.495433968947342,1.1540919582019677,1.1342868840130045,0.8641738019947702,1.1917373207564226,2.115974186849133,1.414747581054551,1.438130292611932,1.5925129267565772,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.365683503632409,1.4221160897546885,1.1781419482045934,0.8221344180669187,1.0845658835242595,0.7171453223616946,0.8020529894961651,1.6384412738522542,1.18972090203734,1.093177149318652,1.2669333494271808,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.3434772678009879,1.3662374012150105,1.1353327073107307,0.9897897413674488,1.080422466816864,0.5631154865556155,-0.26167991475480906,1.0547899357449577,1.1603695960785738,1.143770277001667,0.8870905092095517,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
-1.3212710319695666,1.3382980569451717,1.3292333866535213,0.8321937374649508,0.6163597955885771,0.43008971926854744,1.0021611596027842,0.18461884983953403,1.1032976122698608,1.1897640294407705,0.38885509541759755,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,8.774964387392123,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,-0.3944053188733077
-1.2990647961381452,1.3022472901453794,0.9162501215597849,0.9327869314452689,0.8069569641287666,0.45109378778755826,-1.4623289353945226,-0.7916706611763072,0.9108834954290579,0.9843252685461062,-0.05018403158719464,2.092680182165346,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,-0.3944053188733077
-1.276858560306724,1.2779130225555195,1.5055067315106034,0.3392870869613929,0.41333237692620145,1.4382850081810645,0.812584998449145,0.7576583454357886,1.1375408025550884,1.071713398180403,1.3655938274057857,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,2.7688746209726913,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,-0.3944053188733077
-1.2546523244753027,1.1886873747260336,0.9943140314250647,1.0434394448236184,1.1342868840130045,1.2002388982989423,2.002702010135878,0.42869122759349426,1.0902525873992979,1.082445273749528,1.0449472739753196,-0.4778561045889373,-0.20000000000000004,-0.3944053188733077,-0.08032193289024987,-0.36115755925730764,-0.11396057645963795,-0.24743582965269673,-0.21674839277792138,-0.5872202195147035,2.53546276418555
