Country,ISO_Code,Cluster_2015,Score_2015,Cluster_2019,Score_2019
Mali,MLI,1,3.995,1,4.39
Congo (Brazzaville),,1,3.989,1,4.812
Comoros,COM,1,3.956,1,3.973
Uganda,UGA,1,3.931,1,4.189
Senegal,SEN,1,3.904,1,4.681
Gabon,GAB,1,3.896,1,4.799
Niger,NER,1,3.845,1,4.628
Cambodia,KHM,5,3.819,6,4.7
Tanzania,TZA,1,3.781,1,3.231
Madagascar,MDG,1,3.681,1,3.933
Central African Republic,CAF,1,3.678,1,3.083
Chad,TCD,1,3.667,1,4.35
Guinea,GIN,1,3.656,1,4.534
Ivory Coast,,1,3.655,1,4.944
Burkina Faso,BFA,1,3.587,1,4.587
Afghanistan,AFG,6,3.575,3,3.203
Rwanda,RWA,1,3.465,1,3.334
Benin,BEN,1,3.34,1,4.883
Syria,SYR,4,3.006,5,3.462
Burundi,BDI,1,2.905,1,3.775
Togo,TGO,1,2.839,1,4.085
