Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Economic_Health_Index,Social_Economic_Index,Freedom_Trust_Index,Region_Central and Eastern Europe,Region_East Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe
-1.720999891417666,1.937360050111343,1.3696212439986157,1.3202814206412972,1.2634080915382662,1.57743783879044,0.47103970566190323,2.309651591604854,1.3907526088574766,1.4821473506072314,2.1963242874693205,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.6990745581775442,1.914580626315312,1.1352262511271294,1.514457758194011,1.2894338311493252,1.3324558930104324,1.575856367589956,-0.01647953074480927,1.2490531175789428,1.4145173336089454,0.8479708160192917,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.6771492249374222,1.884792149043579,1.192860692521159,1.3610540317321267,0.9922288171821627,1.46965909688342,0.8242927968933429,2.8427738001152014,1.1682756905616507,1.3843635112241288,2.39999142560603,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.6552238916973006,1.8804114906212654,1.5251297173454594,1.25192192092623,1.0351448963847982,1.605131450052528,0.8686375023606385,1.8520807981271692,1.4008740010916587,1.5537891795615302,1.9798637723782253,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.6332985584571786,1.7971789805973046,1.1948764048497065,1.2212043440068514,1.1180537267838346,1.360415788996194,1.7485631579902627,1.555725358187101,1.2196090674431432,1.3237623192382035,1.67085451363383,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,8.831760866327846,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.6113732252170567,1.7787802152235872,1.1051896488980304,1.2051825862611323,1.0509795897519008,1.4184658587571086,-0.029976279144489183,2.2590053996692414,1.134763712446563,1.2578935855376772,2.068219369069886,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.5894478919769348,1.7542485280586309,1.202715286127392,1.064890919011837,1.0661240528953095,1.245846786635489,1.8910205243039502,1.4601996199323077,1.2040476286652315,1.2596874851928044,1.54831193304065,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.5675225587368131,1.7419826844761521,1.2083642577148033,1.0976710670433076,1.1393290583847622,1.539026267400477,0.9924067427988226,2.4656017469709473,1.2368170484983851,1.2779037207816843,2.251477006179031,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.5455972254966912,1.6736444130880581,1.0054741019783955,1.2103758456683649,1.1291786139186708,1.4030879159649394,1.882389144132637,2.3885459896035637,1.1011710214747437,1.1948461667493053,2.1246557041964236,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.5236718922565693,1.671892149719133,1.2130178158066356,1.1719236270786395,1.2233341367861368,1.4820413365342577,1.5704716533546415,1.7797052169122514,1.2732346894558217,1.3138306384202727,1.863696486655291,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.5017465590164474,1.6666353596123562,0.9516968878797348,0.8577498487545413,1.151509591744072,-0.10268562523016782,0.747718992988209,-0.5480138223462844,1.075165339035723,1.0034696899046232,-0.34656262148084804,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,2.6267851073127395,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.4798212257763257,1.6210765120202941,0.27284976923218485,0.9091299684218475,0.9338840623910681,1.3656749122887537,0.1399589671641116,-0.3141721638712958,0.5482879528611854,0.5813487928745639,0.7169135798611523,-0.4741373235154427,-0.19867985355975656,2.486326242032244,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.4578958925362038,1.598297088224263,1.2221009639537945,1.127025873763625,1.056298422652133,1.3028982886826272,0.7410672871681145,0.36219686473416635,1.2127161894782377,1.2999034538250143,1.0228421592051602,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.4359705592960819,1.5869073763262476,0.43400721416643967,-0.2818943539305993,0.7478061144386772,0.35412581823244466,-0.7645938373946713,0.5824994421966645,0.5788458404198853,0.15960298395421257,0.5258258826093573,-0.4741373235154427,-0.19867985355975656,2.486326242032244,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.41404522605596,1.5273304217827808,1.3646441765207202,0.9431255601443724,0.9400555326264517,0.7817125132718438,1.2967222840681394,0.12935810114899188,1.2589646563856205,1.3118899651569986,0.5686558837175182,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,8.831760866327846,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.3921198928158383,1.408176512695848,0.33620783822579403,0.8906773232940187,0.2710600387552862,0.41190960326968534,-0.7250003503703002,0.26566823158955877,0.32585946227939777,0.6146990182812424,0.4007588563964151,-0.4741373235154427,-0.19867985355975656,2.486326242032244,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,-0.3915158637052229
-1.3701945595757163,1.3757596403707268,1.786201791898465,0.8419122491438307,1.1720946931213059,1.2463127849019184,0.34085632032577085,1.9603098716529408,1.624674610237888,1.5433356370257445,1.8046501314812022,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
-1.3482692263355944,1.370502850263951,1.2189405261053312,1.393834179763598,1.0762338955835367,1.259227594000104,1.7556899856546493,1.2001991197480013,1.218592085448321,1.41596876151173,1.423801140608334,-0.4741373235154427,-0.19867985355975656,-0.4021998332699218,-0.38069349381344053,-0.11322770341445956,-0.24576957615571213,-0.2153081881723028,-0.5822225097395821,2.554174920362645
